Sasaran Total Indonesia: 181.554.465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sasaran Total DKI Jakarta: 8.815.157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tanggal;DKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vaksin Gotong Royong;;;
;Tenaga Kesehatan;;;;;Lansia;;;;;Pelayan Publik;;;;;Total DKI Jakarta;;;;;Vaksinasi Harian;;Total 18 - 59 Tahun DKI Jakarta;;;;;Total 12 - 17 Tahun DKI Jakarta;;;;;Tenaga Kesehatan;;;;;Lansia;;;;;Pelayan Publik;;;;;Total Indonesia;;;;;Vaksinasi Harian;;Total 18 - 59 Tahun Indonesia;;;;;Total 12 - 17 Tahun Indonesia;;;;;Proposi Vaksin Jakarta D1;Proposi Vaksin Jakarta D2;Jakarta;;Indonesia;
;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Vaksinasi 1;Vaksinasi 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Vaksinasi 1;Vaksinasi 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;Target Vaksinasi;Vaksinasi 1;Vaksinasi 2;Persentase 1;Persentase 2;;;Vaksinasi 1;Vaksinasi 2;Vaksinasi 1;Vaksinasi 2
5 March 2021;112301;141425;91078;125,9%;81,1%;911631;76451;0;8,4%;0,0%;1976757;64121;0;3,2%;0,0%;3000689;281997;91078;9,4%;3,0%;;;;;;;;;;;;;1468764;1692016;1111938;115,2%;75,7%;21553118;179711;2;0,8%;0,0%;17327169;541888;2597;3,1%;0,0%;40349051;2413615;1114537;6,0%;2,8%;;;;;;;;;;;;;;;0;0;0;0
6 March 2021;112301;144046;91379;128,3%;81,4%;911631;79421;0;8,7%;0,0%;1976757;66484;0;3,4%;0,0%;3000689;289951;91379;9,7%;3,0%;;;;;;;;;;;;;1468764;1741784;1126353;118,6%;76,7%;21553118;206025;2;1,0%;0,0%;17327169;604456;4169;3,5%;0,0%;40349051;2552265;1130524;6,3%;2,8%;;;;;;;;;;;;;;;0;0;0;0
7 March 2021;112301;177126;91460;157,7%;81,4%;911631;83628;0;9,2%;0,0%;1976757;73752;2514;3,7%;0,1%;3000689;334506;93974;11,1%;3,1%;;;;;;;;;;;;;1468764;2049651;1129340;139,5%;76,9%;21553118;215632;2;1,0%;0,0%;17327169;623474;4445;3,6%;0,0%;40349051;2888757;1133787;7,2%;2,8%;;;;;;;;;;;;;;;0;0;0;0
8 March 2021;112301;181237;92988;161,4%;82,8%;911631;95140;1;10,4%;0,0%;1976757;85333;3989;4,3%;0,2%;3000689;361710;96978;12,1%;3,2%;;;;;;;;;;;;;1468764;2114655;1149547;144,0%;78,3%;21553118;267603;5;1,2%;0,0%;17327169;715767;8880;4,1%;0,1%;40349051;3098025;1158432;7,7%;2,9%;;;;;;;;;;;;;;;0;0;0;0
9 March 2021;112301;113326;89984;100,9%;80,1%;911631;135128;675;14,8%;0,1%;1976757;174685;29195;8,8%;1,5%;3000689;423139;119854;14,1%;4,0%;;;;;;;;;;;;;1468764;1395498;1127633;95,0%;76,8%;21553118;430591;1612;2,0%;0,0%;17327169;1510937;68527;8,7%;0,4%;40349051;3337026;1197772;8,3%;3,0%;;;;;;;;;;;;;;;0;0;0;0
10 March 2021;112301;116791;90681;104,0%;80,7%;911631;154251;1100;16,9%;0,1%;1976757;202452;17773;10,2%;0,9%;3000689;473494;109554;15,8%;3,7%;;;;;;;;;;;;;1468764;1395498;1127633;95,0%;76,8%;21553118;494125;2694;2,3%;0,0%;17327169;1682896;119495;9,7%;0,7%;40349051;3572519;1249822;8,9%;3,1%;;;;;;;;;;;;;;;0;0;0;0
11 March 2021;112301;116823;90693;104,0%;80,8%;911631;154915;1103;17,0%;0,1%;1976757;211754;17903;10,7%;0,9%;3000689;483492;109699;16,1%;3,7%;;;;;;;;;;;;;1468764;1402959;1147846;95,5%;78,2%;21553118;525891;3080;2,4%;0,0%;17327169;1767209;144689;10,2%;0,8%;40349051;3696059;1295615;9,2%;3,2%;;;;;;;;;;;;;;;0;0;0;0
12 March 2021;112301;118086;91521;105,2%;81,5%;911631;167086;1291;18,3%;0,1%;1976757;234403;20226;11,9%;1,0%;3000689;519575;113038;17,3%;3,8%;;;;;;;;;;;;;1468764;1402959;1147846;95,5%;78,2%;21553118;525891;3080;2,4%;0,0%;17327169;1767209;144689;10,2%;0,8%;40349051;3696059;1295615;9,2%;3,2%;;;;;;;;;;;;;;;0;0;0;0
13 March 2021;112301;118283;91748;105,3%;81,7%;911631;174327;1444;19,1%;0,2%;1976757;245355;21272;12,4%;1,1%;3000689;537965;114464;17,9%;3,8%;;;;;;;;;;;;;1468764;1412736;1171385;96,2%;79,8%;21553118;625665;4497;2,9%;0,0%;17327169;1947195;278954;11,2%;1,6%;40349051;3985596;1454836;9,9%;3,6%;;;;;;;;;;;;;;;0;0;0;0
